Hersteller,Typ,Code,Suchbegriffe,Fehler,Ursache,Info,Weitere,Kategorie,Link,TypBild,Details,Modal,ID,,,CsvVersion
Gilgen,SLM,E11,11,Kurzschluss bei 24 V. Externer Anschluss oder KLESE.,24 V-Speisung auf KLESE wurde überlastet oder kurzgeschlossen. Nach 10 Sekunden versucht die Steuerung die 24 V-Speisung erneut einzuschalten.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10009,,,
Gilgen,SLM,E12,12,VERI-Störung. Weg kleiner 38mm / Verriegelungsüberwachung.,Kontrolle der Verriegelungsüberwachung (Microschalter oder Anschlusskabel defekt).,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10010,,,
Gilgen,SLM,E13,13,TUWI-Störung.,"Kontrolle TUWI (REED-Kontakt falsch positioniert resp. defekt, Anschlusskabel defekt). ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10011,,,
Gilgen,SLM,E14,14,Lichtschranken-Fehler. Anschluss oder Lichtschranke.,"Lichtschranke wird durch irgendetwas abgedeckt (Schmutz, Kaugummi). Abdeckung entfernen und Lichtschrankenöffnung reinigen. Lichtschranke falsch oder nicht gesteckt. ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10012,,,
Gilgen,SLM,E15,15,"Stromunterbruch, Notbatteriebetrieb. ","Netzausfall (Netzstecker nicht eingesteckt, Netzsicherung defekt). ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10013,,,
Gilgen,SLM,E16,16,Notbatterie nicht funktionsbereit.,"Notbatterie nicht gesteckt, Kabel oder Sicherung defekt. Notbatterie ist tiefentladen (U < 20 V): Notbatterie wird geladen, grüne LED auf Notbatterie-Print blinkt. Wenn Fehler nach 12 h immer noch vorhanden: Notbatterie ersetzen.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10014,,,
Gilgen,SLM,E17,17,ZU-Stellungs-Fehler.,"Tür wird aus ZU-Stellung gedrückt. Mittendichtung, Laufwagen(Puffer)oder Lichte Weite überprüfen.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10015,,,
Gilgen,SLM,E18,18,Bodenschloss.,BEDIS auf NACHT stellen. Bodenschloss entriegeln. BEDIS auf AUTOMAT stellen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10016,,,
Gilgen,SLM,E20,20,Jumper auf Power-Print nicht gesteckt.,Jumper gemäß Kapitel 3 stecken. RESET durchführen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10017,,,
Gilgen,SLM,E31,31,Schliessbehinderung spezial oder KOMBIPRI fehlt.,"Kann mittels NOT, KEY oder BEDIS auf Handbetrieb gelöscht werden.<br>
(tritt nur auf, wenn Softswitch 31 = ON).<br>
Steuerung erkennt KOMBIPRI, obschon dieser nicht vorhanden ist.<br>
(Softswitch 25 löschen und RESET durchführen).<br>Bei Verwendung LIFTPRI: OEM-C-Software in KLESE einsetzen.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10018,,,
Gilgen,SLM,ohne,Tür öffnet nicht,Tür öffnet nicht<br>Betriebsart HAND / NACHT,Betriebsart AUTOMAT wählen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10019,,,
Gilgen,SLM,ohne,Tür öffnet nicht,"Tür öffnet nicht<br>Bedienungselement defekt (Sensor / Radar / Kontaktteppich, Usw.)",Öffnung über anderes Bedienungselement (aussen / innen) versuchen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10020,,,
Gilgen,SLM,ohne,Tür öffnet nicht,Tür öffnet nicht<br> NOT-AUS betätigt,NOT-AUS lösen/ ev. RESET durchführen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10021,,,
Gilgen,SLM,ohne,Tür schliesst nicht,Tür schliesst nicht/ nicht vollständig<br>Betriebsart OFFEN / HAND,Betriebsart AUTOMAT wählen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10022,,,
Gilgen,SLM,ohne,Tür schliesst nicht,Tür schliesst nicht/ nicht vollständig<br>Lichtschranke unterbrochen,Lichtschrankenöffnung reinigen/ Hindernis entfernen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10023,,,
Gilgen,SLM,ohne,Tür schliesst nicht,Tür schliesst nicht/ nicht vollständig<br> Schliessvorgang behindert,Hindernis entfernen (Bodenführung verschmutzt?),,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10024,,,
Gilgen,SLM,ohne,Tür schliesst nicht,Tür schliesst nicht/ nicht vollständig<br>Handentriegelung betätigt,Handentriegelung in Betriebsposition schieben,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10025,,,
Gilgen,SLM,ohne,Tür schliesst nicht,Tür schliesst nicht/ nicht vollständig<br>Not-AUS betädigt,NOT-AUS lösen/ ev. RESET durchführen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10026,,,
Gilgen,SLM,ohne,Tür verursacht Geräusche,Tür verursacht Geräusche<br>Verschmutzte Führungen am Boden,Reinigen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10027,,,
Gilgen,SLM,ohne,Tür verursacht Geräusche,Tür verursacht Geräusche<br> Türflügel streifen oben oder unten,Flügel neu richten lassen durch Kundendienst,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10028,,,
Gilgen,SLM,ohne,Tür verursacht Geräusche,Tür verursacht Geräusche<br>Defekte Antriebskomponente,Kundendienst benachrichtigen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10029,,,
Gilgen,SLM,ohne,Tür öffnet oder schliesst zu langsam,Tür öffnet oder schliesst zu langsam<br>Einstellfunktion Öffnungs- bzw. Schliessgeschwindigkeit,Einstellen gemäss Beschreibung Einstellfunktionen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10030,,,
Gilgen,SLM,ohne,Tür öffnet zu wenig weit,Tür öffnet zu wenig weit<br>Betriebsart AUTOMAT (Winter),Betriebsart AUTOMAT (Sommer) wählen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10031,,,
Gilgen,SLM,ohne,Tür öffnet zu wenig weit,Tür öffnet zu wenig weit<br>Einstellfunktion Reduzierte Öffnungsweite,Einstellen gemäss Beschreibung Einstellfunktionen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10032,,,
Gilgen,SLM,ohne,Tür bleibt zu lange oder zu kurz offen,Tür bleibt zu lange oder zu kurz offen,Einstellen gemäss Beschreibung Einstellfunktionen,,,,"
<a href=""https://media.gilgendoorsystems.com/download/CDLCKpXBwnbh"" target=""_blank""style=""color: var(--fg);"">SLM Betreiberhandbuch</a> ",images/typen/slm.png,,Reset mit Bedis:details/reset_mit_bedis.html,10033,,,
Gilgen,SLM,Reset mit Bedis,SLM Reset,,,,,,"
",,details/reset_mit_bedis.html,,10034,,,
Gilgen,SLM-RED,E0,0,Netzausfall.,Netzsicherung und Sicherungen in ANTE 1 + 2 kontrollieren,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10035,,,
Gilgen,SLM-RED,E1,1,ANTE 1 defekt.,"Verkabelung ANTE-KLESE auf Unterbrechung/Kurzschluss kontrollieren ANTE ersetzen, NOT-AUS kontrollieren ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10036,,,
Gilgen,SLM-RED,E2,2,ANTE 2 defekt.,"Verkabelung ANTE-KLESE auf Unterbrechung/Kurzschluss kontrollieren ANTE ersetzen, NOT-AUS kontrollieren ",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10037,,,
Gilgen,SLM-RED,E3,3,beim Lernen behindert (Weg kleiner als 230 mm).,"Verriegelung entriegeln, Flügelblockierung aufheben Nach Behebung: RESET durchführen.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10038,,,
Gilgen,SLM-RED,E4,4,beim Lernen überlaufen (Weg größer als 9'800 mm).,Zahnriemen und ANTE-Getriebe kontrollieren.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10039,,,
Gilgen,SLM-RED,E5,5,Notöffnung wird zu langsam.,"Kontrolle der Bodenführung, Gegendruckrollen, Zahnriemenspannung und Flügelgewichte, allgemeine Verschmutzung.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10040,,,
Gilgen,SLM-RED,E6,6,Notöffnung ist zu langsam.,"Kontrolle der Bodenführung, Gegendruckrollen, Zahnriemenspannung und Flügelgewichte, allgemeine Verschmutzung.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10041,,,
Gilgen,SLM-RED,E7,7,KLESE.,Steuerung ersetzen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10042,,,
Gilgen,SLM-RED,E8,8,EPROM/RAM beim Master (links).,RESET durchführen Bei Fehlerwiederholung: EPROM (gleiche Version) oder KLESE austauschen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10043,,,
Gilgen,SLM-RED,E9,9,EPROM/RAM beim Slave (rechts).,RESET durchführen Bei Fehlerwiederholung: EPROM (gleiche Version) oder KLESE austauschen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10044,,,
Gilgen,SLM-RED,E10,10,Schlüsselprogrammschalter FLUCHTWEG.,"Verdrahtung kontrollieren, ev Schalter defekt Kabel muss getrennt vom Kabel des Bedienungstableaus verlegt sein Wenn kein Schalter vorhanden: Brücke einlegen.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10045,,,
Gilgen,SLM-RED,E11,11,Kurzschluss/Überlastung 24 V.,Anschlüsse auf KLESE kontrollieren.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10046,,,
Gilgen,SLM-RED,E12,12,Verriegelung.,Verriegelungsendschalter und Anschlüsse auf Verriegelung kontrollieren Verriegelungsklinke muss frei bewegbar sein.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10047,,,
Gilgen,SLM-RED,E13,13,Bodenschloss.,Schlüsselprogrammschalter auf KEIN FLUCHTWEG stellen Bodenschloss entriegeln Schlüsselprogrammschalter auf FLUCHTWEG stellen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10048,,,
Gilgen,SLM-RED,E14,14,Lichtschranken.,Freie Sichtverbindung und Verkabelung kontrollieren Eventuell Brücke einlegen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10049,,,
Gilgen,SLM-RED,E15,15,Radar Redundant,"Verkabelung zur KLESE kontrollieren Radar Redundant ersetzen, Interfaceprint wechseln.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10050,,,
Gilgen,SLM-RED,E17,17,ZU-Stellung (Tür wird aus ZU-Stellung gedrückt).,"Mittendichtung, Laufwagen (Puffer) oder Lichte Weite kontrollieren.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10051,,,
Gilgen,SLM-RED,E18,18,Netzausfall ANTE 1.,Sicherung in ANTE 1 kontrollieren.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10052,,,
Gilgen,SLM-RED,E19,19,Netzausfall ANTE 2.,Sicherung in ANTE 2 kontrollieren.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10053,,,
Gilgen,SLM-RED,E23,23,Tür öffnet zu langsam oder reagiert nicht auf Öffnungsbefehl.,Flügelblockierung aufheben Radar Redundant kontrollieren.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10054,,,
Gilgen,SLM-RED,E23,23,Einstellungsfehler Öffnungsweite (Winter).,RESET durchführen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10055,,,
Gilgen,SLM-RED,E24,24,NOT-AUF gedrückt oder Brücke Klemme 17 nicht eingelegt.,NOT-AUF lösen oder Brücke einlegen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10056,,,
Gilgen,SLM-RED,E25,25,Kommunikation.,EPROM oder KLESE austauschen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10057,,,
Gilgen,SLM-RED,E29,29,Notbatterie verringert funktionsfähig.,"Notbatterie wird geladen, Charge-LED auf KLESE blinkt Wenn Fehler nach 8 h immer noch vorhanden: Notbatterie ersetzen.",,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10058,,,
Gilgen,SLM-RED,E30,30,Notbatterie defekt.,Notbatterie ersetzen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10059,,,
Gilgen,SLM-RED,E31,31,Schließbehinderung spezial.,Wenn Softswitch 31 ON: Mittels KEY-Befehl oder BEDIS-Stellung HAND Fehler löschen.,,,,"
<a href=""https://media.gilgendoorsystems.com/download/jQnsEFUQuknG"" target=""_blank""style=""color: var(--fg);"">SLM-RED Betreiberhandbuch</a> ",images/typen/slm-red.png,,,10060,,,
Gilgen,SLM-RED,Reset mit Bedis,SLM-red Reset,,,,,,"
",,details/reset_mit_bedis.html,,1060,,,
Gilgen,SLX,E10,10,"SLX-Standard Not-Stopp: Tür steht still.<br>
SLX-Redundant OKI: Tür öffnet und bleibt offen.<br>
SLX-Brandschutz Tür schließt und verriegelt.<br>","Modularer Steuerungs-Kern auf NESTE wechseln, neuste Software-Version laden.","<span style=""color: green"">Schließung möglich.</span>. <img src=""images\symbole\nacht.webp"" alt=""Nachtschließung"" style=""width:25px; padding-left:5px;“ onerror=""this.style.display='none'""> <br>
Error Ausgang / Relais  aktiv.",,Software und Prozessor Fehler.,"
<a href=""https://media.gilgendoorsystems.com/download/OGJYpBtIdgxj"" target=""_blank""style=""color: var(--fg);"">SLX Betreiberhandbuch</a> ",images/typen/slx.png,,Reset D-BEDIX:details/reset_mit_d-bedix.html | Reset C-BEDIX:details/reset_mit_c-bedix.html,10061,,,
Gilgen,SLX,E11,11,"SLX-Standard Not-Stopp: Tür steht still.<br>
SLX-Redundant OKI: Tür öffnet und bleibt offen.<br>
SLX-Brandschutz Tür schließt und verriegelt.<br>","Modularer Steuerungs-Kern auf NESTE wechseln, neuste Software-Version laden.","<span style=""color: green"">Schließung möglich.</span>. <img src=""images\symbole\nacht.webp"" alt=""Nachtschließung"" style=""width:25px; padding-left:5px;“ onerror=""this.style.display='none'""> <br>
Error Ausgang / Relais  aktiv.",,Software und Prozessor Fehler.,"
<a href=""https://media.gilgendoorsystems.com/download/OGJYpBtIdgxj"" target=""_blank""style=""color: var(--fg);"">SLX Betreiberhandbuch</a> ",images/typen/slx.png,,Reset D-BEDIX:details/reset_mit_d-bedix.html | Reset C-BEDIX:details/reset_mit_c-bedix.html,10062,,,
Gilgen,SLX,E12,12,"SLX-Standard Not-Stopp: Tür steht still.<br>
SLX-Redundant OKI: Tür öffnet und bleibt offen.<br>
SLX-Brandschutz Tür schließt und verriegelt.<br>","Modularer Steuerungs-Kern auf NESTE wechseln, neuste Software-Version laden.","<span style=""color: green"">Schließung möglich.</span>. <img src=""images\symbole\nacht.webp"" alt=""Nachtschließung"" style=""width:25px; padding-left:5px;“ onerror=""this.style.display='none'""> <br>
Error Ausgang / Relais  aktiv.",,Software und Prozessor Fehler.,"
<a href=""https://media.gilgendoorsystems.com/download/OGJYpBtIdgxj"" target=""_blank""style=""color: var(--fg);"">SLX Betreiberhandbuch</a> ",images/typen/slx.png,,Reset D-BEDIX:details/reset_mit_d-bedix.html | Reset C-BEDIX:details/reset_mit_c-bedix.html,10063,,,
Gilgen,SLX,E13,13,"SLX-Standard Not-Stopp: Tür steht still.<br>
SLX-Redundant OKI: Tür öffnet und bleibt offen.<br>
SLX-Brandschutz Tür schließt und verriegelt.<br>","Modularer Steuerungs-Kern auf NESTE wechseln, neuste Software-Version laden.","<span style=""color: green"">Schließung möglich.</span>. <img src=""images\symbole\nacht.webp"" alt=""Nachtschließung"" style=""width:25px; padding-left:5px;“ onerror=""this.style.display='none'""> <br>
Error Ausgang / Relais  aktiv.",,Software und Prozessor Fehler.,"
<a href=""https://media.gilgendoorsystems.com/download/OGJYpBtIdgxj"" target=""_blank""style=""color: var(--fg);"">SLX Betreiberhandbuch</a> ",images/typen/slx.png,,Reset D-BEDIX:details/reset_mit_d-bedix.html | Reset C-BEDIX:details/reset_mit_c-bedix.html,10064,,,
